frame_number,person_center_x,person_center_y,person_velocity,person_intersection_percentage,vehicle_center_x,vehicle_center_y,vehicle_velocity,vehicle_intersection_percentage,violation
241.0,964.4546,628.8182,7.5018,0.06489,841.3929,639.6429,12.4383,0.12621,1
242.0,966.5106,628.8511,2.05635,0.08752,848.8637,642.0,7.83379,0.41861,1
243.0,965.413,629.8043,1.45375,0.04574,864.7242,650.37933,17.93789,0.48843,1
244.0,968.775,636.75,7.71657,0.09154,869.4,654.4,6.16685,1.3931,0
550.0,667.6,639.06665,1.84066,0.84406,843.06976,624.8372,6.30225,0.47276,0
551.0,671.717,639.84906,4.19069,0.7025,821.4324,641.5135,27.31798,0.74099,0
552.0,677.9032,619.8387,20.9448,0.59327,854.16,642.36,32.73848,1.39483,0
553.0,692.0454,623.4545,14.5972,0.63839,871.03125,655.21875,21.21292,1.82494,0
554.0,690.75,614.55,8.99828,0.26528,868.8,638.76,16.6093,2.88049,0
555.0,698.6591,627.2045,14.92285,0.34901,873.76746,627.97675,11.87243,3.10699,0
556.0,700.5,639.0714,12.00882,0.44969,871.2632,641.8421,14.08969,5.62627,0
557.0,705.78,633.84,7.43277,0.46595,881.7,650.1,13.30864,7.08185,0
558.0,713.8033,638.21313,9.13765,0.33851,894.0,648.8571,12.36262,8.26109,0
559.0,715.01697,634.01697,4.36816,0.49989,918.5806,665.5161,29.69393,10.46978,0
560.0,722.9524,629.4762,9.14273,0.49461,922.35297,653.4706,12.62242,11.93797,0
561.0,723.83075,637.61536,8.18642,0.33252,927.4773,677.1818,24.25864,12.62177,0
562.0,726.4546,629.9545,8.09768,0.28882,920.46,657.06,21.31032,13.84414,0
563.0,729.18,634.5,5.29995,0.19073,941.1579,667.6842,23.26534,15.36723,0
564.0,738.225,623.25,14.43517,0.26045,929.58826,667.8823,11.57134,17.03202,0
565.0,744.8461,625.61536,7.03097,0.2516,956.11115,689.7222,34.35756,17.21854,0
566.0,747.25714,629.0571,4.20223,0.26528,953.55,693.7,4.73096,18.00634,0
567.0,750.55817,624.55817,5.58009,0.44236,973.52386,684.7619,21.88248,17.17249,0
568.0,764.1429,614.3571,16.98841,0.19542,987.7013,696.8182,18.61062,16.0177,0
569.0,762.4286,625.2857,11.06223,0.65242,980.42114,703.8421,10.11618,16.55692,0
570.0,769.09753,628.53656,7.41909,0.65538,1002.5373,702.0448,22.18912,15.29082,0
571.0,771.6923,629.25,2.69108,0.74787,1004.6053,711.7105,9.88446,14.73675,0
572.0,775.78845,641.0769,12.51615,1.02144,1020.0732,712.5732,15.49193,13.37429,0
573.0,775.3018,641.26416,0.52136,1.06909,1031.1094,729.7031,20.37726,12.04071,0
574.0,781.2,644.4,6.67994,1.21359,1032.3077,727.3077,2.67848,11.02063,0
575.0,778.9412,649.64703,5.71258,1.28589,1045.931,733.75867,15.07344,9.78104,0
576.0,793.3954,632.093,22.73909,0.94304,1064.0,733.76666,18.06897,8.33112,0
577.0,789.9782,640.3043,8.89392,0.95679,1069.0786,746.39325,13.60967,7.137,0
578.0,801.0625,631.625,14.07802,0.69391,1076.7667,756.1,12.38255,5.89831,0
579.0,805.9737,638.8421,8.72963,0.77531,1099.4269,771.36584,27.32269,4.89925,0
580.0,805.2222,634.7778,4.13322,0.59266,1121.2959,769.59186,21.94085,3.88594,0
581.0,813.7058,619.2353,17.70709,0.44443,1134.0625,778.0625,15.32116,2.90885,0
582.0,822.9091,619.5455,9.20847,0.50603,1153.62,780.27,19.68169,2.11402,0
583.0,822.87506,628.125,8.5796,1.00144,1161.2307,786.989,10.15224,1.45325,0
584.0,824.25,626.7,1.98021,1.02718,1197.2621,806.5922,41.01884,0.81885,0
585.0,827.5227,625.2273,3.5888,1.43234,1205.8823,814.9412,12.00055,0.4091,0
586.0,838.7143,633.6857,14.02843,0.78532,1230.934,806.46234,26.44761,0.15656,0
587.0,840.4,626.2,7.67318,0.79699,1246.909,837.99176,35.34561,0.01785,0
617.0,946.62,634.08,12.2633,0.92682,683.74286,647.65717,30.70864,0.05807,0
