frame_number,person_center_x,person_center_y,person_velocity,person_intersection,vehicle_center_x,vehicle_center_y,vehicle_velocity,vehicle_intersection
34.0,596,766,5.656854249492381,120,815,744,37.20215047547655,4
36.0,589,774,7.0,278,809,774,35.510561809129406,185
37.0,587,762,12.165525060596439,283,815,757,18.027756377319946,278
38.0,581,778,17.08800749063506,263,819,753,5.656854249492381,360
39.0,576,766,13.0,120,817,766,13.152946437965905,448
40.0,570,754,13.416407864998739,228,833,752,21.2602916254693,654
41.0,563,768,15.652475842498529,303,833,756,4.0,808
42.0,562,768,1.0,387,828,751,7.0710678118654755,913
43.0,563,777,9.055385138137417,222,842,771,24.413111231467404,1192
44.0,555,793,17.88854381999832,279,854,752,22.47220505424423,1627
45.0,544,788,12.083045973594572,423,844,782,31.622776601683793,1883
46.0,548,785,5.0,376,861,781,17.029386365926403,2321
47.0,542,781,7.211102550927978,321,864,769,12.36931687685298,2833
48.0,540,787,6.324555320336759,364,863,785,16.0312195418814,3538
50.0,539,785,17.46424919657298,189,881,780,12.0,4569
51.0,536,784,3.1622776601683795,372,882,772,8.06225774829855,5388
52.0,529,764,21.18962010041709,296,890,800,29.120439557122072,6020
53.0,524,767,5.830951894845301,143,895,791,10.295630140987,6599
54.0,514,781,17.204650534085253,350,889,788,6.708203932499369,7375
55.0,510,782,4.123105625617661,306,902,802,19.1049731745428,8003
56.0,506,779,5.0,287,914,802,12.0,9213
57.0,512,772,9.219544457292887,287,919,803,5.0990195135927845,9473
58.0,517,777,7.0710678118654755,242,930,808,12.083045973594572,10480
59.0,496,792,25.80697580112788,217,909,818,23.259406699226016,11369
61.0,496,811,14.142135623730951,236,931,795,16.278820596099706,12400
62.0,488,786,26.248809496813376,178,959,815,34.40930106817051,12661
63.0,494,800,15.231546211727817,169,939,823,21.540659228538015,13231
64.0,487,783,18.384776310850235,145,971,850,41.86884283091664,13131
65.0,489,798,15.132745950421556,145,962,835,17.4928556845359,13696
66.0,490,804,6.082762530298219,139,978,844,18.35755975068582,13562
78.0,1297,745,13.601470508735444,6,1098,897,31.400636936215164,14943
97.0,1277,748,10.770329614269007,5,1437,914,3.605551275463989,423
98.0,1276,746,2.23606797749979,5,1488,941,57.706152185014034,34
107.0,1286,737,11.313708498984761,5,867,738,7.280109889280518,17
108.0,1283,732,5.830951894845301,5,888,740,21.095023109728988,74
110.0,1283,736,1.0,5,920,736,21.840329667841555,206
111.0,1282,745,9.055385138137417,5,912,741,9.433981132056603,514
112.0,1277,741,6.4031242374328485,5,928,751,18.867962264113206,690
113.0,1270,747,9.219544457292887,1,937,752,9.055385138137417,948
114.0,1271,743,4.123105625617661,1,945,751,8.06225774829855,1555
115.0,1270,736,7.0710678118654755,1,950,756,7.0710678118654755,2060
116.0,1273,731,5.830951894845301,5,958,757,8.06225774829855,2697
117.0,1281,738,10.63014581273465,1,982,762,24.515301344262525,3591
118.0,1272,733,10.295630140987,1,991,760,9.219544457292887,4472
119.0,1278,731,6.324555320336759,1,1008,771,20.248456731316587,5354
120.0,1281,738,7.615773105863909,1,1012,772,4.123105625617661,6733
121.0,1271,730,12.806248474865697,1,1020,772,8.0,7576
122.0,1272,733,3.1622776601683795,1,1036,779,17.46424919657298,8165
123.0,1272,737,4.0,1,1045,768,14.212670403551895,9158
124.0,1273,737,1.0,1,1069,779,26.40075756488817,10293
136.0,495,814,26.570660511172846,6,1262,854,31.78049716414141,6246
137.0,494,812,2.23606797749979,18,1285,849,23.53720459187964,4952
138.0,493,821,9.055385138137417,18,1318,861,35.11409973215888,4100
139.0,497,822,4.123105625617661,18,1325,867,9.219544457292887,3168
140.0,498,851,29.017236257093817,25,1360,861,35.510561809129406,2304
141.0,497,807,44.01136216933077,112,1381,874,24.698178070456937,1504
142.0,500,817,10.44030650891055,145,1397,883,18.35755975068582,882
143.0,493,804,14.7648230602334,145,1439,886,42.1070065428546,408
144.0,503,819,18.027756377319946,145,1467,897,30.083217912982647,100
158.0,524,813,3.0,538,808,710,12.806248474865697,609
159.0,526,819,6.324555320336759,538,834,733,34.713109915419565,1067
160.0,527,817,2.23606797749979,529,814,725,21.540659228538015,1941
161.0,528,820,3.1622776601683795,529,845,713,33.24154027718932,3104
162.0,528,810,10.0,520,859,724,17.804493814764857,4479
163.0,525,806,5.0,529,854,739,15.811388300841896,6008
164.0,526,799,7.0710678118654755,535,891,723,40.311288741492746,7328
165.0,530,792,8.06225774829855,589,883,716,10.63014581273465,8475
166.0,529,817,25.019992006393608,641,902,716,19.0,9646
167.0,540,792,27.313000567495326,633,915,728,17.69180601295413,11146
168.0,535,799,8.602325267042627,633,894,733,21.587033144922902,12921
169.0,531,800,4.123105625617661,649,949,740,55.44366510251645,15095
170.0,528,801,3.1622776601683795,650,939,736,10.770329614269007,16256
171.0,536,795,10.0,849,966,751,30.886890422961002,16861
172.0,542,787,10.0,935,937,778,39.6232255123179,17880
173.0,543,796,9.055385138137417,1007,1002,775,65.06919393998976,17986
174.0,540,802,6.708203932499369,1046,981,770,21.587033144922902,17680
175.0,544,810,8.94427190999916,1177,1008,771,27.018512172212592,17316
176.0,549,824,14.866068747318506,1315,1008,780,9.0,17233
177.0,554,810,14.866068747318506,1446,1007,787,7.0710678118654755,16871
178.0,547,810,7.0,1232,1033,769,31.622776601683793,16650
179.0,546,812,2.23606797749979,1472,1031,778,9.219544457292887,16206
180.0,543,819,7.615773105863909,1496,1039,798,21.540659228538015,15979
181.0,546,822,4.242640687119285,1493,1021,775,29.206163733020468,15949
182.0,547,819,3.1622776601683795,1451,1063,779,42.190046219457976,16149
183.0,544,814,5.830951894845301,1462,1081,791,21.633307652783937,15792
184.0,547,822,8.54400374531753,1487,1084,793,3.605551275463989,16219
185.0,555,812,12.806248474865697,1516,1098,781,18.439088914585774,16755
186.0,554,832,20.024984394500787,1691,1134,793,37.94733192202055,16417
187.0,557,819,13.341664064126334,1698,1143,790,9.486832980505138,16919
188.0,557,825,6.0,1800,1157,804,19.79898987322333,16943
189.0,556,839,14.035668847618199,1824,1139,805,18.027756377319946,16707
190.0,566,819,22.360679774997898,1885,1191,827,56.462376853972415,17133
191.0,568,817,2.8284271247461903,1857,1202,821,12.529964086141668,17292
192.0,571,819,3.605551275463989,1758,1210,824,8.54400374531753,17175
193.0,574,821,3.605551275463989,1578,1221,831,13.038404810405298,17372
194.0,584,805,18.867962264113206,1301,1250,832,29.017236257093817,17661
195.0,585,797,8.06225774829855,1459,1237,835,13.341664064126334,17802
196.0,589,814,17.46424919657298,2134,1279,849,44.27188724235731,17669
197.0,595,811,6.708203932499369,2589,1257,853,22.360679774997898,17870
198.0,594,810,1.4142135623730951,2540,1298,860,41.593268686170845,18033
199.0,597,817,7.615773105863909,2285,1304,862,6.324555320336759,17736
200.0,600,815,3.605551275463989,2688,1319,859,15.297058540778355,17852
201.0,608,820,9.433981132056603,2648,1341,867,23.40939982143925,17871
202.0,608,816,4.0,2543,1364,870,23.194827009486403,17961
203.0,618,813,10.44030650891055,2640,1394,878,31.04834939252005,17705
204.0,612,821,10.0,2507,1338,888,56.88585061331157,17372
205.0,622,807,17.204650534085253,2288,1289,883,49.25444142409901,16968
206.0,633,805,11.180339887498949,1944,1264,868,29.154759474226502,16614
207.0,632,811,6.082762530298219,1902,1245,887,26.870057685088806,16285
208.0,641,808,9.486832980505138,1877,1250,861,26.476404589747453,15943
209.0,640,830,22.02271554554524,1552,1305,847,56.753854494650845,15707
210.0,663,822,24.351591323771842,1882,1250,838,55.731499172371095,15463
211.0,657,778,44.40720662234904,2293,1265,851,19.849433241279208,15221
212.0,666,802,25.632011235952593,1765,1226,846,39.319206502675,15095
213.0,667,803,1.4142135623730951,2126,1301,852,75.23961722390672,14949
214.0,674,803,7.0,2206,1284,862,19.72308292331602,14848
215.0,677,799,5.0,2243,1273,852,14.866068747318506,14640
216.0,682,816,17.72004514666935,1748,1287,864,18.439088914585774,14473
217.0,688,803,14.317821063276353,1833,1297,857,12.206555615733702,14497
218.0,690,806,3.605551275463989,1860,1303,856,6.082762530298219,14485
