frame_number,person_center_x,person_center_y,person_velocity,person_intersection,vehicle_center_x,vehicle_center_y,vehicle_velocity,vehicle_intersection
4.0,1548.9193,814.5968,9.230756,N/A,280.5,562.5,0,N/A
5.0,1549.7015,812.7313,2.0228417,N/A,280.5,562.5,0.0,N/A
6.0,1538.8235,809.7647,11.275318,N/A,280.5,562.5,0.0,N/A
7.0,1537.841,807.2045,2.7422469,N/A,286.5,562.5,6.0,N/A
8.0,1532.5555,788.6667,19.276592,N/A,286.5,562.5,0.0,N/A
9.0,1529.5333,792.0,4.4994187,N/A,289.2,562.8,2.7166262,N/A
10.0,1521.1428,805.4286,15.834378,N/A,288.33334,561.3333,1.703599,N/A
11.0,1512.0,785.64,21.7986,N/A,288.66666,561.6667,0.47141892,N/A
12.0,1515.3125,799.25,14.007297,N/A,288.54544,565.9091,4.244163,N/A
13.0,1515.9183,802.10205,2.9156868,N/A,287.625,563.625,2.4626021,N/A
14.0,1510.415,812.0377,11.357984,N/A,288.9,565.5,2.267429,N/A
15.0,1504.6721,795.4426,17.560701,N/A,287.625,563.625,2.267429,N/A
16.0,1505.8334,817.1667,21.755075,N/A,286.5,563.25,1.1858541,N/A
17.0,1506.3396,817.6981,0.7339519,N/A,290.75,564.0,4.315669,N/A
18.0,1507.2632,808.6316,9.113448,N/A,294.0,562.1539,3.7377396,N/A
19.0,1496.8096,812.9524,11.311381,N/A,292.58823,566.2941,4.3743396,N/A
20.0,1496.0182,814.36365,1.6180005,N/A,289.92856,568.0714,3.1988385,N/A
21.0,1492.05,803.35,11.706711,N/A,295.125,566.25,5.5064096,N/A
22.0,1491.4375,810.9375,7.6122103,N/A,293.8,565.8,1.3993456,N/A
23.0,1483.7705,802.0328,11.750611,N/A,296.5,564.0,3.2449994,N/A
24.0,1478.4117,795.2353,8.655759,N/A,294.0,564.8571,2.6428487,N/A
25.0,1479.8654,782.4808,12.837082,N/A,292.25,567.75,3.3810167,N/A
26.0,1470.6383,776.55316,10.966998,N/A,292.6154,570.2308,2.507538,N/A
27.0,1466.7632,786.4737,10.650518,N/A,292.6154,568.38464,1.8461304,N/A
28.0,1463.7273,776.7955,10.143206,N/A,293.35715,569.7857,1.5853022,N/A
29.0,1466.4147,784.90247,8.540806,N/A,292.07144,570.0,1.303442,N/A
30.0,1466.5227,797.3182,12.416181,N/A,291.3,570.0,0.77145386,N/A
31.0,1463.0,798.1667,3.6234546,N/A,292.2,569.1,1.2728267,N/A
32.0,1459.3585,795.73584,4.3782864,N/A,294.81818,569.4545,2.642062,N/A
33.0,1457.7,793.62,2.688429,N/A,291.0,572.2,4.702781,N/A
34.0,1458.6964,792.4286,1.5531842,N/A,291.27274,569.4545,2.758997,N/A
35.0,1455.0667,788.8,5.1324368,N/A,290.4,570.6,1.4400439,N/A
36.0,1450.4445,785.8889,5.4625087,N/A,292.875,568.125,3.5001657,N/A
37.0,1449.9678,789.3871,3.5304978,N/A,292.5,568.5,0.53033006,N/A
38.0,1449.5294,790.7647,1.4456846,N/A,292.5,568.5,0.0,N/A
39.0,1441.174,783.13043,11.317953,N/A,292.5,568.5,0.0,N/A
40.0,1443.7858,788.4286,5.9069495,N/A,292.875,568.125,0.53033006,N/A
41.0,1438.75,789.375,5.123928,N/A,294.0,569.6667,1.9085135,N/A
42.0,1440.0,788.7692,1.3890508,N/A,291.54544,571.0909,2.8378146,N/A
43.0,1437.375,772.6875,16.294556,N/A,292.5,568.5,2.761132,N/A
44.0,1426.3784,796.86487,26.560684,N/A,296.4,566.4,4.42943,N/A
45.0,1428.2812,789.09375,8.00069,N/A,297.9,569.1,3.0886462,N/A
46.0,1428.3429,782.3143,6.7797604,N/A,298.9091,573.5455,4.5585856,N/A
47.0,1417.2858,778.3469,11.747337,N/A,302.53845,574.8461,3.8553855,N/A
48.0,1426.1489,794.04254,18.025206,N/A,299.7857,569.5714,5.949813,N/A
49.0,1423.7838,801.32434,7.656263,N/A,294.8,577.8,9.621167,N/A
50.0,1418.6129,794.6129,8.472392,N/A,301.25,575.75,6.767947,N/A
51.0,1417.875,798.075,3.5398636,N/A,298.63635,576.5455,2.732019,N/A
52.0,1417.8914,796.56525,1.5098542,N/A,297.69232,576.2308,0.9951022,N/A
53.0,1408.0,803.3077,11.97077,N/A,303.25,582.75,8.566685,N/A
54.0,1405.6578,799.1053,4.8110113,N/A,298.63635,582.8182,4.6141515,N/A
55.0,1402.125,776.71875,22.663582,N/A,298.5,580.5,2.322183,N/A
56.0,1399.9459,783.8919,7.4968367,N/A,304.875,580.125,6.3860197,N/A
57.0,1392.5454,772.9091,13.24346,N/A,298.5,580.5,6.3860197,N/A
58.0,1389.9375,763.125,10.125718,N/A,304.5,580.5,6.0,N/A
59.0,1385.7354,770.91174,8.848244,N/A,301.33334,581.0,3.2058873,N/A
60.0,1386.1666,780.6667,9.764473,N/A,298.5,580.5,2.8771229,N/A
61.0,1382.4706,777.9706,4.5749025,N/A,304.5,580.5,6.0,N/A
62.0,1388.6052,800.2105,23.070507,N/A,308.7,580.5,4.200012,N/A
63.0,1389.825,785.7,14.561671,N/A,310.92856,584.5714,4.6414227,N/A
64.0,1389.1277,795.44684,9.771735,N/A,309.3158,587.8421,3.6467001,N/A
65.0,1388.1136,794.11365,1.6750138,N/A,312.3,585.45,3.824591,N/A
66.0,1389.1538,788.3077,5.898408,N/A,310.05884,585.7059,2.2557075,N/A
67.0,1385.8,785.6,4.310378,N/A,314.25,584.625,4.3282933,N/A
68.0,1382.4474,776.5263,9.673252,N/A,311.4375,587.8125,4.250919,N/A
69.0,1378.6154,779.53845,4.8741655,N/A,310.66666,587.0,1.1199803,N/A
70.0,1377.6428,770.1429,9.445768,N/A,309.9375,589.6875,2.784659,N/A
71.0,1372.0,774.875,7.364399,N/A,311.57144,590.7857,1.9687104,N/A
72.0,1371.1875,770.8125,4.1429534,N/A,311.14285,591.2143,0.6061162,N/A
73.0,1370.5385,767.3077,3.5644128,N/A,318.0,590.4706,6.8973603,N/A
74.0,1375.091,755.7273,12.443089,N/A,312.27274,591.0,5.751682,N/A
75.0,1374.4736,772.7368,17.02072,N/A,310.63635,591.0,1.636383,N/A
76.0,1376.25,776.3571,4.032624,N/A,314.14285,590.1429,3.6097357,N/A
77.0,1375.7273,779.8182,3.5003078,N/A,316.5,590.3571,2.3668628,N/A
78.0,1367.0526,771.8421,11.784222,N/A,323.0625,589.3125,6.6451206,N/A
79.0,1366.2245,777.67346,5.8898683,N/A,313.2353,586.41174,10.246387,N/A
80.0,1363.4667,774.6,4.1293883,N/A,322.3125,592.125,10.725532,N/A
81.0,1365.3529,783.0,8.609198,N/A,327.75,587.25,7.3028784,N/A
82.0,1368.1765,775.2353,8.262172,N/A,325.2,592.2,5.5682187,N/A
83.0,1365.9231,779.6539,4.9600134,N/A,326.18182,589.9091,2.492418,N/A
84.0,1365.8918,783.8108,4.1570387,N/A,329.57144,592.5,4.266401,N/A
85.0,1367.0,793.38464,9.637773,N/A,322.5,586.0714,9.55678,N/A
86.0,1364.3864,791.0455,3.5075462,N/A,321.75,592.5,6.472191,N/A
87.0,1359.825,787.125,6.0146885,N/A,334.0,592.4,12.250408,N/A
88.0,1356.1428,773.5714,14.044851,N/A,333.75,592.125,0.37166977,N/A
89.0,1350.1111,754.7778,19.73785,N/A,330.46155,590.53845,3.6511712,N/A
90.0,1352.3334,767.6667,13.079095,N/A,324.0,597.0,9.138009,N/A
91.0,1350.625,778.125,10.596927,N/A,325.0909,595.36365,1.9666567,N/A
92.0,1350.0,772.56,5.599989,N/A,325.2857,594.6429,0.74662274,N/A
93.0,1351.7368,750.4737,22.154488,N/A,331.6,597.0,6.73991,N/A
