frame_number,person_1_center_x,person_1_center_y,person_1_velocity,person_1_intersection,person_2_center_x,person_2_center_y,person_2_velocity,person_2_intersection,person_3_center_x,person_3_center_y,person_3_velocity,person_3_intersection,person_4_center_x,person_4_center_y,person_4_velocity,person_4_intersection,vehicle_1_center_x,vehicle_1_center_y,vehicle_1_velocity,vehicle_1_intersection,vehicle_2_center_x,vehicle_2_center_y,vehicle_2_velocity,vehicle_2_intersection,vehicle_3_center_x,vehicle_3_center_y,vehicle_3_velocity,vehicle_3_intersection,vehicle_4_center_x,vehicle_4_center_y,vehicle_4_velocity,vehicle_4_intersection
34.0,596.67566,766.2973,5.179938,120,0,0,0,0,0,0,0,0,0,0,0,0,815.2826,744.45654,37.151993,4,0,0,0,0,0,0,0,0,0,0,0,0
36.0,589.5,774.875,6.5233784,278,0,0,0,0,0,0,0,0,0,0,0,0,809.1,774.6,35.305305,185,0,0,0,0,0,0,0,0,0,0,0,0
37.0,587.087,762.1957,12.906893,283,0,0,0,0,0,0,0,0,0,0,0,0,815.413,757.5,18.228104,278,0,0,0,0,0,0,0,0,0,0,0,0
38.0,581.5,778.75,17.471687,263,0,0,0,0,0,0,0,0,0,0,0,0,819.7826,753.13043,6.179502,360,0,0,0,0,0,0,0,0,0,0,0,0
39.0,576.0,766.575,13.359653,120,0,0,0,0,0,0,0,0,0,0,0,0,817.2143,766.0,13.123336,448,0,0,0,0,0,0,0,0,0,0,0,0
40.0,570.8182,754.36365,13.265321,228,0,0,0,0,0,0,0,0,0,0,0,0,833.375,752.875,20.819078,654,0,0,0,0,0,0,0,0,0,0,0,0
41.0,563.4545,768.2727,15.738017,303,0,0,0,0,0,0,0,0,0,0,0,0,833.2174,756.5217,3.6501322,808,0,0,0,0,0,0,0,0,0,0,0,0
42.0,562.35,768.9,1.2702627,387,0,0,0,0,0,0,0,0,0,0,0,0,828.11536,751.1539,7.40573,913,0,0,0,0,0,0,0,0,0,0,0,0
43.0,563.7907,777.6279,8.846019,222,0,0,0,0,0,0,0,0,0,0,0,0,842.81635,771.61224,25.192541,1192,0,0,0,0,0,0,0,0,0,0,0,0
44.0,555.05554,793.7222,18.312008,279,0,0,0,0,0,0,0,0,0,0,0,0,854.43475,752.5217,22.348047,1627,0,0,0,0,0,0,0,0,0,0,0,0
45.0,544.59186,788.0816,11.887192,423,0,0,0,0,0,0,0,0,0,0,0,0,844.34045,782.8723,31.985199,1883,0,0,0,0,0,0,0,0,0,0,0,0
46.0,548.3538,785.5846,4.515243,376,0,0,0,0,0,0,0,0,0,0,0,0,861.1132,781.1321,16.862803,2321,0,0,0,0,0,0,0,0,0,0,0,0
47.0,542.5909,781.0455,7.335879,321,0,0,0,0,0,0,0,0,0,0,0,0,864.2045,769.0909,12.431679,2833,0,0,0,0,0,0,0,0,0,0,0,0
48.0,540.94446,787.5,6.661205,364,0,0,0,0,0,0,0,0,0,0,0,0,863.5,785.6,16.52412,3538,0,0,0,0,0,0,0,0,0,0,0,0
50.0,539.8461,785.61536,17.072569,189,0,0,0,0,0,0,0,0,0,0,0,0,881.12726,780.0,11.323224,4569,0,0,0,0,0,0,0,0,0,0,0,0
51.0,536.88464,784.2692,3.253071,372,0,0,0,0,0,0,0,0,0,0,0,0,882.3333,772.5714,7.5258555,5388,0,0,0,0,0,0,0,0,0,0,0,0
52.0,529.7778,764.6667,20.851072,296,0,0,0,0,0,0,0,0,0,0,0,0,890.7222,800.3889,29.054905,6020,0,0,0,0,0,0,0,0,0,0,0,0
53.0,524.4545,767.36365,5.967454,143,0,0,0,0,0,0,0,0,0,0,0,0,895.01886,791.77356,9.627326,6599,0,0,0,0,0,0,0,0,0,0,0,0
54.0,514.9355,781.1613,16.762691,350,0,0,0,0,0,0,0,0,0,0,0,0,889.59375,788.2969,6.4435353,7375,0,0,0,0,0,0,0,0,0,0,0,0
55.0,510.5122,782.561,4.639444,306,0,0,0,0,0,0,0,0,0,0,0,0,902.53845,802.9385,19.543331,8003,0,0,0,0,0,0,0,0,0,0,0,0
56.0,506.57144,779.8571,4.779171,287,0,0,0,0,0,0,0,0,0,0,0,0,914.75,802.25,12.23094,9213,0,0,0,0,0,0,0,0,0,0,0,0
57.0,512.6842,772.8158,9.324487,287,0,0,0,0,0,0,0,0,0,0,0,0,919.9091,803.86365,5.4055862,9473,0,0,0,0,0,0,0,0,0,0,0,0
58.0,517.2727,777.7273,6.721396,242,0,0,0,0,0,0,0,0,0,0,0,0,930.16364,808.14545,11.112557,10480,0,0,0,0,0,0,0,0,0,0,0,0
59.0,496.93332,792.13336,24.924393,217,0,0,0,0,0,0,0,0,0,0,0,0,909.5625,818.2031,22.925175,11369,0,0,0,0,0,0,0,0,0,0,0,0
61.0,496.17392,811.1739,13.921087,236,0,0,0,0,0,0,0,0,0,0,0,0,931.28,795.2,16.63985,12400,0,0,0,0,0,0,0,0,0,0,0,0
62.0,488.10938,786.0469,26.389462,178,0,0,0,0,0,0,0,0,0,0,0,0,959.8714,815.7857,35.231197,12661,0,0,0,0,0,0,0,0,0,0,0,0
63.0,494.21738,800.86957,16.03184,169,0,0,0,0,0,0,0,0,0,0,0,0,939.97754,823.382,21.294827,13231,0,0,0,0,0,0,0,0,0,0,0,0
64.0,487.09616,783.86536,18.435154,145,0,0,0,0,0,0,0,0,0,0,0,0,971.0625,850.2375,41.079082,13131,0,0,0,0,0,0,0,0,0,0,0,0
65.0,489.10715,798.1071,14.3830385,145,0,0,0,0,0,0,0,0,0,0,0,0,962.0,835.0833,17.657234,13696,0,0,0,0,0,0,0,0,0,0,0,0
66.0,490.725,804.075,6.1833034,139,0,0,0,0,0,0,0,0,0,0,0,0,978.59155,844.5211,19.088001,13562,0,0,0,0,0,0,0,0,0,0,0,0
78.0,1297.1538,745.1539,13.593193,6,0,0,0,0,0,0,0,0,0,0,0,0,1098.3364,897.4486,30.812061,14943,0,0,0,0,0,0,0,0,0,0,0,0
97.0,1277.1,748.125,11.005851,5,0,0,0,0,0,0,0,0,0,0,0,0,1437.4067,914.38983,3.0919762,423,0,0,0,0,0,0,0,0,0,0,0,0
98.0,1276.1842,746.6053,1.7743081,5,0,0,0,0,0,0,0,0,0,0,0,0,1488.919,941.86487,58.38138,34,0,0,0,0,0,0,0,0,0,0,0,0
107.0,1286.25,737.625,11.288995,5,0,0,0,0,0,0,0,0,0,0,0,0,867.4138,738.5172,7.829147,17,0,0,0,0,0,0,0,0,0,0,0,0
108.0,1283.3438,732.0,6.331423,5,0,0,0,0,0,0,0,0,0,0,0,0,888.0492,740.36066,20.717554,74,0,0,0,0,0,0,0,0,0,0,0,0
110.0,1283.6342,736.90247,1.1910696,5,0,0,0,0,0,0,0,0,0,0,0,0,920.15625,736.96875,21.614885,206,0,0,0,0,0,0,0,0,0,0,0,0
111.0,1282.3572,745.7857,8.974554,5,0,0,0,0,0,0,0,0,0,0,0,0,912.25,741.0,8.87467,514,0,0,0,0,0,0,0,0,0,0,0,0
112.0,1277.3773,741.9623,6.2783413,5,0,0,0,0,0,0,0,0,0,0,0,0,928.74194,751.74194,19.681807,690,0,0,0,0,0,0,0,0,0,0,0,0
113.0,1270.5454,747.63635,8.880883,1,0,0,0,0,0,0,0,0,0,0,0,0,937.22034,752.28815,8.49597,948,0,0,0,0,0,0,0,0,0,0,0,0
114.0,1271.8286,743.1429,4.6731014,1,0,0,0,0,0,0,0,0,0,0,0,0,945.0,751.8214,7.793651,1555,0,0,0,0,0,0,0,0,0,0,0,0
115.0,1270.5454,736.0,7.2572303,1,0,0,0,0,0,0,0,0,0,0,0,0,950.14923,756.6269,7.0432396,2060,0,0,0,0,0,0,0,0,0,0,0,0
116.0,1273.9286,731.5714,5.572997,5,0,0,0,0,0,0,0,0,0,0,0,0,958.2985,757.1194,8.16416,2697,0,0,0,0,0,0,0,0,0,0,0,0
117.0,1281.15,738.45,9.973178,1,0,0,0,0,0,0,0,0,0,0,0,0,982.209,762.2687,24.458645,3591,0,0,0,0,0,0,0,0,0,0,0,0
118.0,1272.3871,733.5484,10.040663,1,0,0,0,0,0,0,0,0,0,0,0,0,991.4805,760.20776,9.497837,4472,0,0,0,0,0,0,0,0,0,0,0,0
119.0,1278.5217,731.86957,6.3602147,1,0,0,0,0,0,0,0,0,0,0,0,0,1008.6667,771.5833,20.60988,5354,0,0,0,0,0,0,0,0,0,0,0,0
120.0,1281.15,738.45,7.0859146,1,0,0,0,0,0,0,0,0,0,0,0,0,1012.46344,772.3171,3.867007,6733,0,0,0,0,0,0,0,0,0,0,0,0
121.0,1271.2727,730.1818,12.881164,1,0,0,0,0,0,0,0,0,0,0,0,0,1020.7125,772.1625,8.250533,7576,0,0,0,0,0,0,0,0,0,0,0,0
122.0,1272.1936,733.5484,3.4902573,1,0,0,0,0,0,0,0,0,0,0,0,0,1036.6744,779.093,17.401585,8165,0,0,0,0,0,0,0,0,0,0,0,0
123.0,1272.2812,737.0625,3.5151918,1,0,0,0,0,0,0,0,0,0,0,0,0,1045.2354,768.0353,13.984378,9158,0,0,0,0,0,0,0,0,0,0,0,0
124.0,1273.862,737.68964,1.7006651,1,0,0,0,0,0,0,0,0,0,0,0,0,1069.3334,779.4074,26.646576,10293,0,0,0,0,0,0,0,0,0,0,0,0
136.0,495.3913,814.1739,25.70343,6,0,0,0,0,0,0,0,0,0,0,0,0,1262.4572,854.34283,31.288456,6246,0,0,0,0,0,0,0,0,0,0,0,0
137.0,494.78183,812.2364,2.0310972,18,0,0,0,0,0,0,0,0,0,0,0,0,1285.3513,849.2973,23.443554,4952,0,0,0,0,0,0,0,0,0,0,0,0
138.0,493.15384,821.12305,9.034547,18,0,0,0,0,0,0,0,0,0,0,0,0,1318.776,861.24,35.494186,4100,0,0,0,0,0,0,0,0,0,0,0,0
139.0,497.95834,822.2083,4.9255524,18,0,0,0,0,0,0,0,0,0,0,0,0,1325.3959,867.5208,9.1253195,3168,0,0,0,0,0,0,0,0,0,0,0,0
140.0,498.79593,851.32654,29.130268,25,0,0,0,0,0,0,0,0,0,0,0,0,1360.1818,861.9091,35.235622,2304,0,0,0,0,0,0,0,0,0,0,0,0
141.0,497.1081,807.2432,44.115612,112,0,0,0,0,0,0,0,0,0,0,0,0,1381.5338,874.4211,24.747915,1504,0,0,0,0,0,0,0,0,0,0,0,0
142.0,500.85,817.6,11.012002,145,0,0,0,0,0,0,0,0,0,0,0,0,1397.6322,883.5484,18.505838,882,0,0,0,0,0,0,0,0,0,0,0,0
143.0,493.8493,804.3699,14.968147,145,0,0,0,0,0,0,0,0,0,0,0,0,1439.9172,886.07587,42.360504,408,0,0,0,0,0,0,0,0,0,0,0,0
144.0,503.25,819.875,18.132347,145,0,0,0,0,0,0,0,0,0,0,0,0,1467.537,897.4074,29.853886,100,0,0,0,0,0,0,0,0,0,0,0,0
158.0,1274.0204,745.40814,2.7219942,5,524.925,813.75,2.8921552,538,0,0,0,0,0,0,0,0,808.2589,710.4911,12.986812,609,0,0,0,0,0,0,0,0,0,0,0,0
159.0,1274.0728,748.4727,3.0650227,12,526.0541,819.0,5.3700414,538,0,0,0,0,0,0,0,0,834.08826,733.58826,34.65017,1067,0,0,0,0,0,0,0,0,0,0,0,0
160.0,1274.3125,756.5,8.030863,35,527.025,817.275,1.9794644,529,0,0,0,0,0,0,0,0,814.9722,725.8611,20.618723,1941,0,0,0,0,0,0,0,0,0,0,0,0
161.0,1274.1428,746.0,10.501371,48,528.7059,820.94116,4.0330896,529,0,0,0,0,0,0,0,0,845.5122,713.1951,33.062317,3104,0,0,0,0,0,0,0,0,0,0,0,0
162.0,1274.3024,749.51166,3.5152802,68,528.4,810.2,10.745503,520,0,0,0,0,0,0,0,0,859.37286,724.70337,18.015476,4479,0,0,0,0,0,0,0,0,0,0,0,0
163.0,525.5455,806.4545,4.709259,529,0,0,0,0,0,0,0,0,0,0,0,0,854.0821,739.56714,15.777323,6008,0,0,0,0,0,0,0,0,0,0,0,0
164.0,1275.75,748.5682,5.79151,1,526.1591,799.1591,7.321173,535,0,0,0,0,0,0,0,0,891.2288,723.5593,40.449097,7328,0,0,0,0,0,0,0,0,0,0,0,0
165.0,1274.4615,739.46155,9.197325,1,530.0,792.73334,7.4861894,589,0,0,0,0,0,0,0,0,883.5,716.9077,10.19699,8475,0,0,0,0,0,0,0,0,0,0,0,0
166.0,1272.9474,741.3158,2.3939333,5,529.2143,817.8571,25.13606,641,0,0,0,0,0,0,0,0,902.3077,716.3077,18.817247,9646,0,0,0,0,0,0,0,0,0,0,0,0
167.0,1268.4375,741.9375,4.552538,1,540.08826,792.9706,27.158474,633,0,0,0,0,0,0,0,0,915.6977,728.6047,18.179897,11146,0,0,0,0,0,0,0,0,0,0,0,0
168.0,1267.6765,742.5,0.946312,1,535.96155,799.5,7.7241855,633,0,0,0,0,0,0,0,0,894.5068,733.07434,21.657167,12921,0,0,0,0,0,0,0,0,0,0,0,0
169.0,1276.1786,759.1071,18.656944,1,531.3,800.88,4.8615384,649,0,0,0,0,0,0,0,0,949.1556,740.93335,55.21101,15095,0,0,0,0,0,0,0,0,0,0,0,0
170.0,1273.62,747.06,12.315823,1,528.2093,801.8372,3.2355332,650,0,0,0,0,0,0,0,0,939.375,736.0809,10.918162,16256,0,0,0,0,0,0,0,0,0,0,0,0
171.0,1277.0571,764.0571,17.341175,1,536.1774,795.9677,9.896584,849,0,0,0,0,0,0,0,0,966.45966,751.2823,31.059002,16861,0,0,0,0,0,0,0,0,0,0,0,0
172.0,542.449,787.04083,10.909697,935,0,0,0,0,0,0,0,0,0,0,0,0,937.46454,778.46454,39.744076,17880,0,0,0,0,0,0,0,0,0,0,0,0
173.0,543.0,796.96875,9.943197,1007,0,0,0,0,0,0,0,0,0,0,0,0,1002.8958,775.2292,65.51121,17986,0,0,0,0,0,0,0,0,0,0,0,0
174.0,540.88635,802.5,5.921337,1046,0,0,0,0,0,0,0,0,0,0,0,0,981.20135,770.698,22.162607,17680,0,0,0,0,0,0,0,0,0,0,0,0
175.0,544.2778,810.05554,8.281783,1177,0,0,0,0,0,0,0,0,0,0,0,0,1008.32,771.44,27.128803,17316,0,0,0,0,0,0,0,0,0,0,0,0
