frame_number,person_center_x,person_center_y,person_velocity,person_intersection,vehicle_center_x,vehicle_center_y,vehicle_velocity,vehicle_intersection
992.0,1271.1333,977.6667,0,1016,1556.4359,818.64105,89.592094,31720
993.0,1293.12,975.9,22.057558,1073,1429.4393,864.84973,135.14204,29758
994.0,1302.6522,969.45654,11.505729,209,1421.5741,865.2222,7.87405,29492
995.0,1314.6735,973.89795,12.815472,148,1444.6265,876.93976,25.859468,28528
996.0,1331.7059,969.0,17.722725,98,1436.5769,866.1539,13.458486,27797
1484.0,1054.3868,744.22644,8.919561,749,730.88574,701.82855,8.701989,3
1485.0,1051.5428,741.6,3.8712556,770,730.43475,708.26086,6.448103,9
1486.0,1051.7524,741.0594,0.579798,742,739.2917,712.0417,9.630156,42
1487.0,1050.0,744.8182,4.1472335,715,733.6709,707.1266,7.466691,75
1488.0,1044.5753,756.53424,12.910977,730,742.3077,716.61536,12.83085,103
1489.0,1048.6813,753.65936,5.0123653,674,739.6709,711.4557,5.794375,187
1490.0,1043.79,745.32,9.667939,655,738.7895,717.6316,6.2384825,235
1491.0,1043.8387,748.9032,3.583522,605,746.7973,712.2973,9.621835,324
1492.0,1037.1482,745.55554,7.481329,595,755.2771,719.0241,10.823904,343
1493.0,1038.4138,746.1724,1.4079597,533,752.9595,723.12164,4.7075667,424
1494.0,1038.5581,739.22095,6.9529743,481,752.4507,715.0986,8.039187,529
1495.0,1041.28,741.76,3.7223256,460,751.7432,722.5135,7.44859,559
1496.0,1032.4932,740.71234,8.849102,445,757.67645,725.91174,6.837494,585
1497.0,1036.0,746.8461,7.0654984,484,761.20483,748.8434,23.2015,717
1498.0,1041.1578,755.0921,9.726218,457,758.2105,744.5132,5.2646565,858
1499.0,1039.2174,762.04346,7.217105,427,760.3929,738.3214,6.5651197,891
1500.0,1038.25,746.2,15.872952,364,765.51135,753.2045,15.738676,1028
1501.0,1034.0454,732.8182,14.026835,397,758.8571,737.9286,16.662329,1123
1502.0,1032.7703,736.3378,3.7435222,368,784.2439,746.63416,26.837948,1164
1503.0,1029.1526,734.2373,4.1832743,346,784.68134,744.46155,2.2162075,1306
1504.0,1029.6562,726.75,7.504226,391,780.9114,752.1266,8.541979,1521
1505.0,1027.0564,739.8169,13.323024,372,777.4699,739.08435,13.488648,1533
1506.0,1028.1207,729.9828,9.891534,416,777.92554,749.45746,10.383109,1590
1507.0,1032.0461,739.75385,10.530073,413,789.5604,756.1978,13.4463005,1857
1508.0,1028.7931,735.4138,5.423853,374,795.0,750.84784,7.6296277,2170
1509.0,1025.82,744.72,9.769547,368,792.65216,746.2826,5.133598,2173
1510.0,1022.2826,738.5217,7.136601,331,795.3158,751.3263,5.7038474,2533
1511.0,1017.25714,744.34283,7.690282,337,794.9072,744.6495,6.6893077,2901
1512.0,1020.0,735.6429,9.122085,319,792.48,754.98,10.611827,2961
1513.0,1008.0,705.5,32.443695,349,803.7714,751.7143,11.754208,3358
1514.0,1008.4528,711.39624,5.9136024,340,817.0,756.21875,13.974454,4012
1515.0,1009.73334,727.8,16.453653,367,821.3301,754.68933,4.592243,4464
1516.0,1009.8571,733.0,5.201485,404,811.19385,752.66327,10.336736,4558
1517.0,1021.0714,717.4286,19.1893,395,803.177,760.9646,11.540446,5179
1518.0,1004.3774,720.0,16.89091,457,820.4835,763.61536,17.508345,5445
1519.0,1003.1489,717.7659,2.549543,447,828.0303,758.51514,9.108552,6048
1520.0,1005.4375,699.625,18.28472,429,824.60205,761.051,4.2642045,6789
1521.0,995.32654,719.0204,21.872644,462,832.0091,753.13635,10.8400345,7464
1522.0,994.53064,724.83673,5.8705473,471,827.2636,764.7545,12.549953,7911
1523.0,990.3333,730.6111,7.1386766,395,835.5,763.08,8.404882,8370
1524.0,988.2321,726.4821,4.6328607,451,838.5469,761.0156,3.6803753,8697
1525.0,987.9194,729.871,3.4032552,451,845.0769,767.2564,9.032644,9672
1526.0,987.0448,736.38806,6.5755105,435,844.5913,761.11304,6.1625333,10482
1527.0,986.4179,738.80597,2.4978533,434,838.0,769.0,10.278596,11469
1528.0,988.6406,740.2969,2.676429,346,849.1579,760.7105,13.900156,11257
