frame_number,person_center_x,person_center_y,person_velocity,person_intersection,vehicle_center_x,vehicle_center_y,vehicle_velocity,vehicle_intersection
18.0,985.375,748.5417,10.401999,708,232.63889,739.30554,17.245377,61
19.0,978.0405,743.91895,8.669731,667,225.63829,743.1383,7.981128,175
20.0,979.59375,751.40625,7.6467137,580,236.21213,732.0303,15.33605,466
21.0,970.2857,740.4,14.414461,564,218.3793,720.62067,21.17047,690
22.0,972.44775,738.98505,2.583915,430,269.2857,736.7857,53.411335,1161
23.0,966.1132,743.60376,7.839568,373,271.41666,728.5278,8.528449,1550
24.0,958.62714,736.98303,9.9937725,408,291.719,734.7521,21.235039,2065
25.0,960.48834,720.8372,16.252733,458,294.76315,718.7632,16.276104,2632
26.0,948.9,727.875,13.558003,527,301.93805,719.36285,7.1999125,3177
27.0,944.7907,734.093,7.453201,489,347.2232,718.9286,45.287235,3869
28.0,943.2766,721.8511,12.33522,550,370.02777,727.2778,24.284914,4460
29.0,942.84784,730.8913,9.0503845,723,348.73108,730.86554,21.596785,4970
30.0,930.875,747.375,20.373055,698,387.52777,723.94446,39.409195,5383
31.0,928.322,732.1525,15.43507,594,426.65323,713.3226,40.541656,5651
32.0,925.9091,742.4727,10.598511,611,427.7553,720.2234,6.988267,5988
33.0,918.087,722.1739,21.753813,695,424.94287,724.54285,5.15437,6322
34.0,923.1111,736.3333,15.024345,482,446.75,719.53125,22.37559,6641
35.0,916.29114,739.29114,7.4337335,623,468.0,714.8131,21.767483,6938
36.0,909.2083,727.75,13.541206,510,489.0849,710.7453,21.473707,7321
37.0,913.63635,725.5,4.9668937,519,520.8261,726.9457,35.63645,7570
38.0,906.0536,725.6786,7.5848665,525,531.03064,715.4388,15.379892,7494
39.0,898.5,722.93475,8.036501,435,518.07,713.79,13.065089,7702
40.0,891.90564,722.32074,6.6228848,338,543.7,720.3333,26.452078,7350
41.0,893.9167,706.5833,15.865399,365,552.5854,715.9756,9.896448,6982
42.0,881.8378,724.9459,21.979177,477,550.05493,720.1978,4.922441,6465
43.0,888.0612,709.46936,16.680964,507,581.6582,710.43036,33.07824,5843
44.0,878.8421,736.6316,28.684124,536,592.25,697.0,17.104406,5595
45.0,869.12305,728.4,12.736512,547,608.2692,704.1923,17.559757,5023
46.0,870.125,733.8333,5.5249014,447,646.48236,715.97644,39.98886,4620
47.0,867.4918,737.5082,4.52087,519,654.6786,718.0,8.44233,4023
48.0,862.68494,729.7808,9.100449,519,662.6163,702.4535,17.455679,3670
49.0,859.2778,729.3889,3.429631,469,663.3253,712.77106,10.341901,3013
50.0,854.6667,721.625,9.029977,395,671.3684,708.66315,9.031403,2602
51.0,855.9474,721.9474,1.3206544,243,667.5195,703.4026,6.518267,2204
52.0,846.5455,732.2727,13.964534,260,685.4415,699.5844,18.324263,1905
53.0,839.2632,710.0526,23.38299,384,699.6923,703.1923,14.700413,1523
54.0,839.1316,695.1316,14.921601,290,711.7875,696.525,13.811068,1137
55.0,838.8461,712.61536,17.486095,241,721.9355,693.4839,10.593896,723
56.0,819.1667,698.8333,24.025513,325,712.6842,698.9474,10.744117,434
57.0,824.0455,706.9091,9.435103,380,733.0,693.0625,21.150969,303
58.0,811.6957,709.8913,12.704754,518,745.3019,692.77356,12.305272,162
59.0,811.5625,713.9375,4.0483947,569,234.80199,752.34656,13.983564,55
60.0,816.0625,717.875,5.979457,291,246.90323,747.4194,13.06588,147
61.0,803.4107,728.9464,16.812021,258,258.66315,752.96844,13.00338,307
62.0,797.8732,712.43665,17.413673,344,260.27884,758.16345,5.440456,475
63.0,799.03845,705.46155,7.071756,335,256.36606,763.5,6.6172953,715
64.0,794.9508,710.60657,6.571155,239,277.56882,772.9816,23.22624,980
65.0,790.1803,712.918,5.301,290,266.82178,772.3366,10.766379,1277
66.0,791.4706,710.2941,2.9239852,88,295.0,764.7778,29.174446,1661
67.0,778.1707,706.60974,13.800766,229,295.54285,759.9143,4.8936663,2045
68.0,771.4737,709.1053,7.1468763,179,289.71796,771.0513,12.568265,2462
69.0,764.9143,689.5714,20.605772,164,309.375,769.7679,19.698895,2986
70.0,764.3182,695.4545,5.913243,288,334.00763,769.30536,24.63697,3456
71.0,756.32434,698.27026,8.4752445,415,320.68695,773.1652,13.868634,3998
72.0,751.38464,714.46155,16.928032,445,311.19232,768.55383,10.55523,4476
73.0,749.25,709.25,5.631779,326,331.7647,757.19116,23.501776,5115
74.0,740.7895,710.0,8.493688,310,332.00787,749.10236,8.092461,5596
75.0,744.13635,708.5,3.6676273,301,301.02856,763.99286,34.37215,6187
76.0,747.8644,700.47455,8.8490715,352,293.22153,758.48737,9.553025,6817
77.0,744.383,702.70215,4.133066,320,310.7922,759.25323,17.587362,7452
78.0,743.6,710.55,7.8868055,256,331.013,746.3182,24.00409,8172
79.0,736.2,701.05,12.041987,237,352.02,734.62,24.044563,8780
80.0,732.0,701.3684,4.212065,196,367.2245,751.04083,22.379023,9436
81.0,732.45,700.15,1.2988341,180,373.6383,747.34045,7.404719,10011
82.0,721.4727,692.83636,13.190551,172,349.6579,734.1513,27.368113,10413
83.0,724.4737,688.3684,5.382239,249,403.81937,751.8387,56.97638,11155
84.0,718.1539,685.3077,7.021983,230,401.2455,740.7305,11.402448,11632
85.0,713.38983,687.7627,5.3594,195,409.95,735.6937,10.056724,12241
86.0,711.5821,686.7761,2.0594287,189,429.9527,740.0473,20.470982,12743
87.0,703.9149,687.383,7.6911554,222,440.6853,737.7273,10.980494,13227
88.0,703.53064,677.87756,9.513197,230,448.7793,733.5724,9.098131,13741
89.0,705.43634,680.8909,3.5653994,152,483.2748,731.58777,34.552555,14327
634.0,599.26227,789.2459,0,3079,444.15,825.1286,37.97033,14742
635.0,574.8281,788.4844,24.446009,3161,423.6879,817.7197,21.762096,13247
636.0,555.087,776.95654,22.860533,3014,1495.0785,852.902,11.842743,12133
637.0,522.6711,791.5658,35.555878,2578,1508.234,870.65955,22.099749,12184
638.0,485.71875,811.2656,41.875507,2407,1493.4706,859.098,18.751736,12836
639.0,454.5375,803.775,32.068348,1943,1495.4231,858.28845,2.1136975,12932
640.0,425.25882,809.2235,29.781326,1462,1496.7255,847.4902,10.8765335,13001
641.0,381.56522,832.26086,49.394844,1008,1473.849,861.283,26.71283,13656
642.0,347.8816,821.9605,35.223343,472,1502.962,865.7468,29.453259,13775
643.0,306.17307,828.9231,42.28568,79,1488.1776,891.4342,29.63816,14351
700.0,460.0408,696.61224,0,43,983.26874,868.3125,13.3035555,41021
701.0,458.01492,692.4627,4.617666,43,971.11365,876.4773,14.642749,41345
702.0,456.67743,690.5806,2.3089209,46,960.05,868.25,13.78742,41654
703.0,453.0,692.4857,4.1416006,43,967.1878,853.1269,16.722942,41906
704.0,440.7447,684.8936,14.416402,77,906.66,882.435,67.25015,41741
705.0,436.3846,689.2308,6.149895,74,890.30304,886.0,16.740923,42066
706.0,426.88235,679.5294,13.579735,77,899.7398,894.2602,12.541266,42429
707.0,423.07318,681.95123,4.513866,51,878.90216,881.788,24.285027,42600
708.0,357.4054,739.17566,55.00535,466,865.22925,884.6195,13.9630165,42547
709.0,402.9079,732.5526,45.98198,1040,859.1878,880.8731,7.108765,42716
710.0,454.47458,729.1525,51.678654,1249,837.4648,881.95776,21.750086,42766
711.0,494.22974,732.8919,39.930634,1726,807.0536,887.7054,30.94957,42596
712.0,532.7288,721.11865,40.259026,1912,791.4425,892.5398,16.342505,42615
